PCIRdCur,ItoM,ItoMCacheNear,WiL,MemRead,MemWrite,MemTotal,drop_pct(%),CPU_busy(%),ksoft_avg,ksoft_max,label
557000,67000000,3798000,272000,7311.98,11075.27,18387.25,0.001539,5.23,45255.5,152279.5,cpu_interference
596000,67000000,445000,32000,8582.26,12673.26,21255.52,0.003218,6.71,16.06,114.83,cpu_interference
581000,71000000,1332000,95000,8675.94,12642.12,21318.06,0.0,6.6,12.48,112.82,normal
580000,71000000,1621000,120000,8672.02,12657.78,21329.8,0.001626,6.46,15.95,120.05,cpu_interference
14000,1936000,22000,2420,8214.44,11551.98,19766.42,0.000623,6.72,15.37,176.65,cpu_interference
528000,66000000,3535000,267000,8735.86,12617.32,21353.19,0.002568,7.0,717.78,751.22,cpu_interference
546000,66000000,571000,43000,8535.91,12476.66,21012.57,0.004379,6.74,23.86,84.71,cpu_interference
587000,71000000,897000,68000,8551.89,12562.96,21114.85,0.0,6.93,97.96,580.94,normal
569000,71000000,1615000,120000,8742.82,12767.41,21510.23,0.000756,6.91,22.98,72.02,cpu_interference
27000,3825000,0,0,8010.17,11298.6,19308.77,0.004112,6.3,26.07,66.67,cpu_interference
438000,52000000,3890000,297000,8388.17,12325.08,20713.25,0.0,6.54,41.79,132.4,normal
513000,65000000,3443000,261000,8640.05,12515.97,21156.03,0.008714,6.58,15.14,65.73,cpu_interference
572000,71000000,3883000,285000,8681.62,12643.51,21325.13,0.0,6.73,20.43,60.07,normal
576000,71000000,3900000,291000,8640.08,12817.35,21457.42,0.0,6.57,21.02,90.0,normal
43000,5650000,1266000,101000,8028.0,11982.92,20010.91,0.003556,5.44,10.8,84.84,cpu_interference
613000,71000000,3987000,295000,8414.53,12846.3,21260.83,0.0,5.53,58.76,17356.51,normal
524000,66000000,3636000,266000,8571.06,12483.75,21054.81,0.000202,5.71,25.28,149.72,cpu_interference
61000,7737000,3918000,290000,8715.59,12689.84,21405.43,0.0,5.89,12.02,76.91,normal
570000,71000000,3917000,296000,8715.0,12780.01,21495.01,0.0,5.52,17.02,137.98,normal
21000,2750000,232000,19000,7945.9,11176.1,19122.0,0.005749,5.19,12.73,217.51,cpu_interference
592000,71000000,3910000,293000,8640.95,12634.29,21275.24,0.0,5.24,140.5,25499.08,normal
274000,37000000,2336000,175000,7441.22,9902.02,17343.24,0.002189,5.53,24.15,153.32,cpu_interference
223000,31000000,2242000,172000,6601.39,9615.29,16216.68,0.004266,6.14,44.79,314.4,cpu_interference
199000,28000000,2812000,212000,7585.69,10010.51,17596.2,0.0,5.22,24.02,211.41,normal
28000,3347000,1869000,145000,8093.04,12222.6,20315.64,0.001991,5.35,21.82,78.43,cpu_interference
612000,71000000,3979000,302000,8367.37,12809.69,21177.06,0.0,5.35,134.97,29394.74,normal
571000,64000000,3338000,267000,8073.02,11630.12,19703.14,0.002441,5.08,26.88,180.55,cpu_interference
646000,68000000,3578000,278000,8124.57,11511.66,19636.24,0.001693,4.97,39.26,142.12,cpu_interference
577000,65000000,3407000,269000,7587.46,10925.25,18512.71,0.001046,5.12,12.39,88.97,cpu_interference
27000,2999000,265000,22000,8111.97,12147.73,20259.7,0.001794,5.69,19.02,140.89,cpu_interference
611000,71000000,3982000,297000,8324.46,12718.35,21042.8,0.0,9.92,18.59,138.51,normal
582000,67000000,3969000,296000,8567.86,12947.66,21515.52,0.002084,5.28,12.05,134.53,cpu_interference
608000,71000000,3991000,294000,8445.7,12817.49,21263.19,0.0,5.35,9.82,59.92,normal
612000,71000000,3996000,294000,8407.63,12827.54,21235.17,0.0,5.68,11.49,157.17,normal
26000,3029000,260000,20000,7647.36,11161.48,18808.84,0.005572,5.67,11.89,148.61,cpu_interference
597000,69000000,3581000,280000,8232.53,11887.24,20119.78,0.001161,21.6,338.42,3658.35,cpu_interference
497000,66000000,3757000,258000,8717.38,12633.34,21350.71,0.003233,5.15,27.1,213.73,cpu_interference
476000,65000000,3559000,245000,8621.68,12412.67,21034.36,0.003042,5.32,16.57,171.81,cpu_interference
534000,71000000,3979000,262000,9148.77,13484.46,22633.23,0.002082,5.19,15.11,193.46,cpu_interference
37000,4220000,968000,75000,8186.35,11635.53,19821.88,0.005453,5.44,28.47,115.08,cpu_interference
592000,71000000,3882000,291000,8905.09,13255.32,22160.41,0.0,5.74,2470.96,105941.37,normal
516000,66000000,3603000,261000,8644.31,12551.49,21195.8,0.004576,6.51,21.97,67.49,cpu_interference
623000,71000000,3927000,286000,8779.54,12789.1,21568.64,0.0,6.77,18.38,172.53,normal
580000,71000000,3918000,287000,8738.29,12690.6,21428.89,0.0,6.87,17.27,107.59,normal
90000,4696000,3473000,272000,8164.68,11662.68,19827.36,0.007736,5.27,17.64,143.58,cpu_interference
580000,71000000,3593000,269000,8248.23,11774.71,20022.94,0.0,5.22,3220.37,105783.52,normal
575000,67000000,3788000,276000,8367.27,12662.06,21029.32,0.000932,6.19,11.58,75.06,cpu_interference
609000,71000000,3995000,290000,8460.19,12818.01,21278.2,0.0,6.76,22.42,91.15,normal
607000,71000000,3994000,293000,8548.86,12962.57,21511.43,0.0,6.49,26.05,78.54,normal
16000,1996000,294000,27000,8154.75,12232.35,20387.1,0.008745,5.33,30.45,158.93,cpu_interference
608000,71000000,3984000,291000,8390.85,12759.6,21150.45,0.0,5.38,2398.27,129974.86,normal
583000,67000000,2447000,183000,8409.78,12796.29,21206.07,0.00317,6.42,12.52,92.19,cpu_interference
607000,71000000,2121000,162000,8359.67,12790.44,21150.11,0.0,6.51,23.0,73.26,normal
656000,71000000,2279000,169000,8388.62,12828.27,21216.89,0.0,6.56,34.55,110.8,normal
25000,3457000,260000,21000,8157.31,12129.97,20287.28,0.004792,6.66,12.03,73.05,cpu_interference
606000,71000000,3979000,297000,8627.37,13364.05,21991.42,4e-05,6.59,39246.68,39290.07,cpu_interference
547000,67000000,3589000,278000,8625.38,12811.96,21437.33,0.003619,6.54,9.57,58.16,cpu_interference
576000,71000000,3885000,297000,8543.16,12522.76,21065.92,0.001125,6.62,24.83,67.95,cpu_interference
573000,71000000,3885000,291000,8708.05,12678.9,21386.95,0.000147,6.56,14.09,74.17,cpu_interference
22000,2804000,237000,18000,8309.95,11861.76,20171.71,0.000492,5.09,15.34,88.5,cpu_interference
578000,71000000,3837000,285000,8275.76,11796.6,20072.36,0.001052,5.11,2080.85,105899.74,cpu_interference
72000,8914000,3623000,277000,8511.26,12369.46,20880.72,0.005859,5.24,12.29,208.95,cpu_interference
82000,9771000,3879000,293000,8526.91,12451.86,20978.77,0.0,5.11,23.09,213.16,normal
118000,14000000,3909000,292000,8651.51,12677.25,21328.76,0.0,5.3,16.48,105.22,normal
17000,770000,433000,41000,8041.31,11435.01,19476.32,0.004525,5.06,23.3,243.52,cpu_interference
567000,71000000,3899000,288000,8670.84,12826.27,21497.11,0.0,5.69,99.81,21546.88,normal
426000,53000000,3611000,273000,8664.27,12554.36,21218.62,0.007593,5.7,14.29,108.64,cpu_interference
557000,66000000,3660000,285000,8528.45,12551.4,21079.85,0.0,6.18,11.0,89.37,normal
525000,65000000,3816000,291000,8651.43,12597.98,21249.4,0.0,6.05,10.94,107.77,normal
26000,2995000,287000,24000,8173.0,11567.85,19740.85,0.005709,5.23,19.71,165.46,cpu_interference
585000,71000000,3898000,286000,8548.74,12547.09,21095.83,0.0,5.35,2629.83,98634.34,normal
574000,65000000,772000,63000,7833.18,11196.08,19029.26,0.010889,6.31,70.21,114.42,cpu_interference
582000,66000000,833000,69000,7508.35,10805.43,18313.77,0.000574,6.3,14.58,80.5,cpu_interference
612000,70000000,2054000,166000,8365.42,12318.28,20683.7,6.9e-05,6.77,11.1,122.24,cpu_interference
37000,4500000,3422000,256000,8062.58,11390.46,19453.04,0.002803,6.68,13.08,105.0,cpu_interference
582000,71000000,3642000,268000,8441.03,12384.87,20825.9,0.0,6.7,11.98,207.79,normal
376000,48000000,2513000,196000,6561.61,8716.26,15277.87,0.003716,6.05,60.28,311.72,cpu_interference
20000,2879000,3108000,238000,7703.14,10502.74,18205.88,0.001929,5.55,14.9,53.81,cpu_interference
97000,13000000,3091000,242000,7706.98,10519.88,18226.86,0.000801,5.89,19.94,67.57,cpu_interference
19000,2677000,17000,1248,8412.94,12705.08,21118.02,0.004142,6.6,33.1,317.29,cpu_interference
647000,71000000,3994000,286000,8351.35,12660.45,21011.79,0.0,6.6,76.25,311.35,normal
523000,66000000,3630000,268000,8642.62,12451.82,21094.44,0.002041,6.75,23.02,66.98,cpu_interference
611000,71000000,3817000,288000,8615.68,12505.76,21121.43,0.0,6.6,21.8,99.83,normal
567000,71000000,3861000,293000,8614.93,12509.08,21124.0,0.0,6.77,19.5,111.94,normal
91000,1614000,3741000,288000,8474.97,13053.26,21528.23,0.006357,5.28,16.65,97.6,cpu_interference
583000,67000000,3816000,277000,8225.88,12294.26,20520.14,0.000278,5.36,2683.1,142538.05,cpu_interference
579000,67000000,376000,27000,8362.54,12748.1,21110.64,0.00024,6.67,23.13,63.28,cpu_interference
607000,71000000,704000,52000,8473.95,12854.8,21328.75,0.0,6.42,11.62,59.29,normal
609000,71000000,1371000,101000,8467.49,12856.65,21324.14,0.0,6.83,17.06,97.06,normal
18000,2547000,114000,11000,8014.36,11354.49,19368.84,0.008852,6.51,16.8,52.84,cpu_interference
135000,16000000,3875000,292000,8425.06,12375.5,20800.56,0.0,6.67,21.9,88.4,normal
18000,2180000,3638000,271000,8383.83,12163.89,20547.72,0.003259,6.64,58.51,80.71,cpu_interference
585000,71000000,3901000,289000,8539.84,12427.42,20967.26,0.0,5.38,11.62,48.86,normal
581000,71000000,3907000,290000,8533.26,12405.47,20938.74,0.0,5.48,10.58,46.29,normal
16000,2108000,185000,14000,8091.44,12086.42,20177.86,0.005887,5.48,19.17,47.03,cpu_interference
610000,71000000,4007000,291000,8353.21,12662.91,21016.12,0.0,5.26,12.68,49.68,normal
612000,71000000,4007000,290000,8448.95,12739.98,21188.93,0.0,5.33,51.33,81.8,normal
618000,71000000,4009000,287000,8328.94,12683.85,21012.78,0.0,5.53,10.31,41.55,normal
614000,71000000,4016000,290000,8370.16,12787.07,21157.23,0.0,5.62,12.32,46.32,normal
35000,4129000,316000,27000,8069.38,11563.27,19632.64,0.005167,5.63,25.0,66.53,cpu_interference
613000,71000000,3907000,304000,8450.08,12661.88,21111.96,0.0,5.36,12.54,52.36,normal
613000,71000000,3894000,304000,8439.22,12372.89,20812.11,0.0,5.54,10.34,43.0,normal
581000,71000000,3888000,289000,8445.09,12539.34,20984.43,0.0,5.5,10.1,36.23,normal
586000,71000000,3909000,299000,8534.63,12440.7,20975.33,0.0,6.01,11.83,52.74,normal
16000,2319000,243000,19000,8001.08,12017.42,20018.5,0.00876,5.23,10.03,39.45,cpu_interference
607000,71000000,3996000,295000,8307.02,12695.35,21002.37,0.0,5.51,8.8,32.77,normal
610000,71000000,4002000,296000,8378.06,12857.52,21235.58,0.000555,5.5,12.0,35.97,cpu_interference
610000,71000000,4000000,298000,8354.6,12758.05,21112.65,0.0,5.38,14.0,48.11,normal
607000,71000000,4000000,297000,8371.68,12821.48,21193.16,0.0,5.77,12.16,40.61,normal
31000,3760000,221000,17000,8264.85,11770.28,20035.14,0.009357,6.19,23.19,76.44,cpu_interference
472000,65000000,3877000,257000,8785.23,12956.62,21741.84,0.0,5.17,14.31,46.69,normal
527000,71000000,4035000,269000,8882.13,13149.62,22031.75,0.0,5.57,15.12,47.67,normal
523000,71000000,4005000,262000,9072.36,13336.15,22408.51,0.0,5.63,15.5,48.59,normal
520000,71000000,4031000,267000,8971.28,13168.4,22139.68,0.0,5.44,13.74,53.0,normal
39000,4694000,257000,21000,7389.47,10696.24,18085.71,0.00579,5.01,10.41,63.38,cpu_interference
567000,63000000,3594000,288000,8037.69,11587.97,19625.66,0.000518,5.43,8.39,39.46,cpu_interference
594000,68000000,3567000,287000,8000.09,11531.29,19531.38,0.001016,5.25,14.07,47.29,cpu_interference
613000,69000000,3665000,296000,8058.55,11739.77,19798.32,0.000452,4.98,10.7,38.61,cpu_interference
613000,69000000,3649000,298000,7464.89,10848.26,18313.15,0.001564,4.9,23.62,52.97,cpu_interference
24000,3087000,269000,21000,7392.28,10295.04,17687.32,0.002825,5.7,15.68,84.59,cpu_interference
491000,66000000,3485000,254000,8052.25,11332.66,19384.9,9.9e-05,4.7,16.56,50.79,cpu_interference
472000,63000000,3436000,252000,10516.14,16587.19,27103.34,0.0,5.62,16.29,52.14,normal
381000,52000000,3234000,238000,10426.54,16502.59,26929.14,0.00188,5.87,14.44,59.91,cpu_interference
495000,66000000,3486000,258000,9910.84,15330.09,25240.93,0.000236,4.46,13.05,43.24,cpu_interference
22000,3086000,288000,25000,7979.64,11265.66,19245.3,0.005817,5.43,13.94,50.45,cpu_interference
500000,63000000,3659000,275000,7973.16,11306.98,19280.13,0.0,5.15,10.21,92.24,normal
605000,71000000,3478000,257000,8385.21,12150.38,20535.59,0.0,5.22,12.71,41.62,normal
585000,71000000,3870000,288000,7871.7,11044.92,18916.61,0.0,5.13,13.06,47.66,normal
506000,64000000,3513000,262000,7946.62,11341.82,19288.43,0.0,5.28,19.95,48.68,normal
24000,3364000,249000,21000,7945.74,11341.43,19287.17,0.003615,5.43,10.66,52.2,cpu_interference
577000,71000000,3893000,289000,8469.45,12382.09,20851.54,0.0,5.55,10.97,43.0,normal
